Timestamp,accX_shoulder_r,accY_shoulder_r,accZ_shoulder_r,magX_shoulder_r,magY_shoulder_r,magZ_shoulder_r,gyroX_shoulder_r,gyroY_shoulder_r,gyroZ_shoulder_r,accX_shoulder_l,accY_shoulder_l,accZ_shoulder_l,magX_shoulder_l,magY_shoulder_l,magZ_shoulder_l,gyroX_shoulder_l,gyroY_shoulder_l,gyroZ_shoulder_l,accX_back,accY_back,accZ_back,magX_back,magY_back,magZ_back,gyroX_back,gyroY_back,gyroZ_back,accX_neck,accY_neck,accZ_neck,magX_neck,magY_neck,magZ_neck,gyroX_neck,gyroY_neck,gyroZ_neck,Classification
1635194446,1.3046875,-0.003417969,1.582519531,-4.959106445,0,2.44140625,224.1587302,24.14017094,39.28400488,-0.286132813,-0.251464844,1.935058594,0.221252441,1.899719238,1.174926758,16.49328449,-133.8954823,16.64322344,-0.521972656,1.69921875,0.998535156,-1.502990723,-0.785827637,1.510620117,-85.01538462,89.06373626,12.14505495,-0.407714844,-1.87890625,0.141601563,-1.968383789,0.679016113,1.930236816,-5.847619048,-29.38803419,-10.64566545,2
1635194447,1.3046875,-0.003417969,1.582519531,-4.959106445,0,2.44140625,224.1587302,24.14017094,39.28400488,-0.290039063,-0.298828125,1.913574219,-0.267028809,1.205444336,1.068115234,16.64322344,-134.1953602,16.79316239,-0.527832031,1.706054688,1.0078125,-0.419616699,2.60925293,0.434875488,-84.41562882,90.26324786,13.64444444,-0.407714844,-1.87890625,0.141601563,-1.968383789,0.679016113,1.930236816,-5.847619048,-29.38803419,-10.64566545,2
1635194447,1.339355469,0.074707031,1.8046875,4.39453125,0.686645508,-0.717163086,225.2083028,21.74114774,39.28400488,-0.290039063,-0.298828125,1.913574219,-0.267028809,1.205444336,1.068115234,16.64322344,-134.1953602,16.79316239,-0.527832031,1.706054688,1.0078125,-0.419616699,2.60925293,0.434875488,-84.41562882,90.26324786,13.64444444,-0.409667969,-1.805664063,0.328125,-4.997253418,0.144958496,1.831054688,-5.547741148,-30.28766789,-10.4957265,2
1635194448,1.339355469,0.074707031,1.8046875,4.39453125,0.686645508,-0.717163086,225.2083028,21.74114774,39.28400488,-0.288574219,-0.282714844,1.899902344,0.579833984,-0.457763672,0.08392334,14.99389499,-135.0949939,15.29377289,-0.540039063,1.689941406,1.002929688,-0.961303711,0.854492188,0.999450684,-86.81465201,89.36361416,7.946764347,-0.409667969,-1.805664063,0.328125,-4.997253418,0.144958496,1.831054688,-5.547741148,-30.28766789,-10.4957265,2
1635194448,1.305175781,0.087890625,1.827148438,-1.922607422,0.80871582,0.373840332,226.1079365,22.94065934,40.78339438,-0.288574219,-0.282714844,1.899902344,0.579833984,-0.457763672,0.08392334,14.99389499,-135.0949939,15.29377289,-0.540039063,1.689941406,1.002929688,-0.961303711,0.854492188,0.999450684,-86.81465201,89.36361416,7.946764347,-0.421386719,-1.828613281,0.250488281,-2.349853516,0.015258789,3.25012207,-4.947985348,-28.78827839,-9.895970696,2
1635194449,1.305175781,0.087890625,1.827148438,-1.922607422,0.80871582,0.373840332,226.1079365,22.94065934,40.78339438,-0.256347656,-0.297851563,1.924804688,-1.525878906,-0.045776367,0.831604004,16.49328449,-133.5956044,16.34334554,-0.545410156,1.701171875,0.973632813,-0.282287598,3.16619873,-0.57220459,-85.76507937,90.86300366,13.49450549,-0.421386719,-1.828613281,0.250488281,-2.349853516,0.015258789,3.25012207,-4.947985348,-28.78827839,-9.895970696,2
1635194450,1.41796875,0.076171875,1.777832031,6.996154785,-3.265380859,-0.991821289,224.3086691,22.64078144,39.73382173,-0.166015625,-0.430664063,1.908203125,-8.514404297,-9.574890137,3.265380859,15.44371184,-134.645177,16.34334554,-0.624023438,1.689453125,0.9296875,7.705688477,7.804870605,-2.067565918,-84.11575092,88.46398046,14.39413919,-0.480957031,-1.813476563,0.285644531,-4.989624023,-1.853942871,9.490966797,-4.648107448,-30.73748474,-9.296214896,2
1635194451,1.673339844,0.090820313,1.423339844,9.078979492,6.790161133,-16.95251465,226.4078144,21.44126984,39.13406593,0.170410156,-0.483886719,1.935058594,10.90240479,-5.432128906,-13.66424561,16.19340659,-135.3948718,13.64444444,-0.771972656,1.798339844,0.808105469,-12.68005371,-14.67132568,-6.973266602,-83.81587302,89.51355311,14.39413919,-0.7109375,-1.753417969,0.094238281,-9.803771973,14.72473145,5.638122559,-6.897191697,-29.68791209,-8.246642247,2
1635194451,1.673339844,0.090820313,1.423339844,9.078979492,6.790161133,-16.95251465,226.4078144,21.44126984,39.13406593,0.170410156,-0.483886719,1.935058594,10.90240479,-5.432128906,-13.66424561,16.19340659,-135.3948718,13.64444444,-0.771972656,1.798339844,0.808105469,-12.68005371,-14.67132568,-6.973266602,-83.81587302,89.51355311,14.39413919,-0.7109375,-1.753417969,0.094238281,-9.803771973,14.72473145,5.638122559,-6.897191697,-29.68791209,-8.246642247,2
1635194452,1.376953125,0.065429688,1.162109375,-12.07733154,-4.089355469,4.8828125,227.9072039,24.44004884,37.33479853,0.170410156,-0.483886719,1.935058594,10.90240479,-5.432128906,-13.66424561,16.19340659,-135.3948718,13.64444444,-0.713867188,1.741699219,0.826660156,1.274108887,2.075195313,0.923156738,-79.46764347,88.16410256,17.84273504,-0.563476563,-1.770019531,-0.095703125,-0.503540039,-0.89263916,0.663757324,-12.29499389,-30.13772894,-5.247863248,2
1635194452,1.376953125,0.065429688,1.162109375,-12.07733154,-4.089355469,4.8828125,227.9072039,24.44004884,37.33479853,0.086425781,-0.528808594,1.896484375,1.174926758,2.952575684,1.937866211,14.24420024,-133.4456654,6.147496947,-0.713867188,1.741699219,0.826660156,1.274108887,2.075195313,0.923156738,-79.46764347,88.16410256,17.84273504,-0.563476563,-1.770019531,-0.095703125,-0.503540039,-0.89263916,0.663757324,-12.29499389,-30.13772894,-5.247863248,2
1635194453,1.408691406,0.118164063,1.194335938,-1.258850098,0.526428223,1.853942871,225.9579976,23.09059829,36.13528694,0.070800781,-0.435058594,1.896484375,-0.038146973,2.342224121,0.991821289,12.89474969,-132.0962149,6.297435897,-0.728027344,1.674804688,0.913574219,-0.541687012,2.281188965,1.098632813,-81.11697192,87.86422466,17.99267399,-0.586914063,-1.795898438,0.000488281,4.119873047,2.571105957,2.807617188,-10.94554335,-26.38925519,-2.249084249,2
1635194453,1.408691406,0.118164063,1.194335938,-1.258850098,0.526428223,1.853942871,225.9579976,23.09059829,36.13528694,0.070800781,-0.435058594,1.896484375,-0.038146973,2.342224121,0.991821289,12.89474969,-132.0962149,6.297435897,-0.728027344,1.674804688,0.913574219,-0.541687012,2.281188965,1.098632813,-81.11697192,87.86422466,17.99267399,-0.586914063,-1.795898438,0.000488281,4.119873047,2.571105957,2.807617188,-10.94554335,-26.38925519,-2.249084249,2
